商品名稱或組群	類別	組群代碼	修正事項	公告期數
維生素營養補充品	05	0503	新增	35卷14期
維他命營養補充品	05	0503	新增	35卷14期
綜合維他命營養補充品	05	0503	新增	35卷14期
蜆精	05	0503	新增	35卷14期
酵素營養補充品	05	0503	新增	35卷14期
草本營養補充品	05	0503	新增	35卷14期
衛生棉、月經帶、生理期用棉塞	05	0506	新增備註：「月經帶」商品需檢索0517「生理期用褲」組群所有商品	35卷14期
嬰兒營養補充品	05	0512	新增	35卷14期
嬰兒食品	05	0512	修正備註：三、「嬰兒食品」商品需檢索0503「營養補充品」組群、290101「獸乳、調味乳、乳酸菌飲料」小類組、290103「奶粉、奶油」小類組所有商品及301202「麥片、麵粉、穀製粉、綜合穀物纖維粉」小類組中之「麥粉」、「米仔麩」、「米麥粉」商品。新增備註：四、「嬰兒營養補充品」商品需檢索0503「營養補充品」組群所有商品	35卷14期
生理期用褲	05	0517	修正備註：「生理期用褲」組群所有商品需檢索0506「衛生棉、月經帶、生理期用棉塞」組群中之「月經帶」商品及250101「內衣、睡衣、汗衫、泳裝、襯衫」小類組中之「內褲」商品	35卷14期
藥草茶	05	050101	新增	35卷04期
藥草茶營養補充品	05	0503	新增	35卷04期
滅蟲用製劑抗菌劑	05	050401	修正為「滅蟲用製劑」	35卷04期
氨基酸溶液	05	050101	修正為「胺基酸溶液」	34卷19期
治療新陳代謝治劑	05	050101	修正為「治療新陳代謝製劑」	34卷19期
醫療用氨基酸	05	050101	修正為「醫療用胺基酸」	34卷19期
獸醫用氨基酸	05	0511	修正為「獸醫用胺基酸」	34卷19期
醫療用氧	05	050101	新增	34卷18期
衣服和紡織品用除臭劑	05	0514	新增	34卷18期
抗氧化營養補充品	05	0503	新增	34卷15期
乳酸菌膠囊	05	0503	新增	34卷15期
蟲草精	05	0503	新增	34卷15期
虫草精	05	0503	刪除	34卷15期
植物萃取營養補充品	05	0503	新增	34卷15期
卵磷脂營養補充品	05	0503	新增	34卷15期
代餐營養補充品	05	0503	新增	34卷15期
ＯＫ絆	05	0505	新增	34卷15期
獸醫用藥劑	05	0511	新增	34卷15期
人體用藥品、醫療檢驗用製劑	05	0501	新增備註：0501「人體用藥品、醫療檢驗用製劑」組群所有商品需檢索351907「藥物零售」小類組所有服務組群所有服務	34卷14期
人體用藥品	05	050101	刪除原備註一：「人體用藥品」小類組所有商品需檢索351907「藥物零售」小類組所有服務	34卷14期
醫療用麻醉葯品	05	050101	修正為「醫療用麻醉藥品」	34卷01期
空氣淨化製劑、非個人用除臭劑、非個人用芳香劑	05	0514	修正備註：「由竹醋液製成之非人體用除臭劑」商品需檢索010101「工業用化學品、科學用化學品」小類組中之「竹醋液（原料）」、「木醋液（原料）」商品及030104「人體用清潔劑」小類組中之「含竹醋液之香皂」、「含竹醋液之泡澡用沐浴劑」商品	34卷01期
中藥、西藥、臨床試驗用製劑、醫用營養品	05	0501	修正為「人體用藥品、臨床試驗用製劑」	33卷18期
中藥、西藥	05	050101	修正為「人體用藥品」	33卷18期
中藥	05	050101	新增	33卷18期
西藥	05	050101	新增	33卷18期
醫藥用碳酸氫鈉	05	050101	新增	33卷18期
醫藥用溴	05	050101	新增	33卷18期
藥用膠囊	05	050101	新增	33卷18期
醫療用口香糖	05	050101	新增	33卷18期
甘汞	05	050101	新增	33卷18期
樟腦油	05	050101	修正為「醫療用樟腦油」	33卷18期
藥用糖果	05	050101	修正為「醫療用糖果」	33卷18期
醫療用斑蝥酸鹽粉	05	050101	修正為「乾斑蝥粉」	33卷18期
醫療用蓖麻油	05	050101	新增	33卷18期
心電描記器電極用化學導體	05	050101	新增	33卷18期
止血用桿劑	05	050101	新增	33卷18期
醫用化學製劑	05	050101	修正為「醫療用化學製劑」	33卷18期
醫用香煙	05	050101	修正為「醫療用香菸」	33卷18期
醫療用不含菸草的香菸	05	050101	新增	33卷18期
補藥	05	050101	新增	33卷18期
三氯甲烷	05	050101	新增	33卷18期
氯仿	05	050101	新增	33卷18期
維他命製劑	05	050101	新增	33卷18期
醫療用古柯鹼	05	050101	修正為「古柯鹼」	33卷18期
醫療用消化劑	05	050101	修正為「醫藥用消化劑」	33卷18期
毛地黃鹼	05	050101	新增	33卷18期
醫療用蒔蘿油	05	050101	新增	33卷18期
麻醉劑	05	050101	修正為「醫療用麻醉劑」	33卷18期
醫藥用酯	05	050101	新增	33卷18期
醫藥用桉葉醇	05	050101	新增	33卷18期
醫藥用碘化物	05	050101	新增	33卷18期
醫療三碘甲烷	05	050101	修正為「三碘甲烷」	33卷18期
甲種北美黃連鹼	05	050101	新增	33卷18期
乙種北美黃連鹼	05	050101	新增	33卷18期
醫藥用桉葉	05	050101	新增	33卷18期
便秘舒緩劑	05	050101	修正為「便秘舒緩藥劑」	33卷18期
醫療用橡皮膏	05	050101	修正為「橡皮膏」	33卷18期
醫藥用木餾油	05	050101	新增	33卷18期
醫藥用雜酚油	05	050101	新增	33卷18期
巴豆樹皮	05	050101	新增	33卷18期
醫用細菌培養基	05	050101	修正為「醫療用細菌培養基」	33卷18期
細菌培養基	05	050101	新增	33卷18期
細菌培養用培養基	05	050101	新增	33卷18期
醫用微生物培養劑	05	050101	修正為「醫療用微生物培養劑」	33卷18期
醫用酵素	05	050101	修正為「醫療用酵素」	33卷18期
醫療用酵素製劑	05	050101	新增	33卷18期
藥用酵素	05	050101	修正為「醫藥用酵素」	33卷18期
醫藥用酵素乳劑	05	050101	新增	33卷18期
藥用膠	05	050101	修正為「醫藥用果膠」	33卷18期
醫藥用火棉膠	05	050101	新增	33卷18期
醫藥用甲醛	05	050101	新增	33卷18期
燻蒸消毒錠劑	05	050101	新增	33卷18期
燻蒸消毒棒	05	050101	新增	33卷18期
醫療用燻蒸消毒製劑	05	050101	新增	33卷18期
醫療用藤黃	05	050101	新增	33卷18期
醫藥用龍膽寧	05	050101	新增	33卷18期
醫藥用磷酸鹽	05	050101	新增	33卷18期
醫療用鈉鹽	05	050101	新增	33卷18期
醫藥用沒食子酸	05	050101	新增	33卷18期
醫療甘油	05	050101	修正為「醫療用甘油」	33卷18期
醫療磷酸甘油	05	050101	修正為「磷酸甘油」	33卷18期
稀鉛醋液	05	050101	新增	33卷18期
紅血球素	05	050101	修正為「血紅素」	33卷18期
痔瘡用劑	05	050101	修正為「痔瘡用製劑」	33卷18期
絆創膏去除用溶劑	05	050101	新增	33卷18期
醫用草藥茶(藥用茶)	05	050101	修正為「醫療用草藥茶」	33卷18期
氣喘藥茶	05	050101	新增	33卷18期
醫療用碘	05	050101	修正為「醫藥用碘」	33卷18期
碘仿	05	050101	新增	33卷18期
減肥用醫療製劑	05	050101	新增	33卷18期
凍傷用藥劑	05	050101	修正為「凍瘡藥劑」	33卷18期
醫療用卵磷脂	05	050101	新增	33卷18期
醫療用水蛭	05	050101	新增	33卷18期
醫療用牛彌菜	05	050101	新增	33卷18期
醫療用生物鹼	05	050101	新增	33卷18期
醫療用石灰製劑	05	050101	修正為「醫藥用石灰製劑」	33卷18期
擦劑	05	050101	新增	33卷18期
醫藥用大黃根	05	050101	新增	33卷18期
醫藥用含水氯醛	05	050101	新增	33卷18期
醫藥用亞麻仁（粉）	05	050101	修正為「醫藥用亞麻仁粉」	33卷18期
醫藥用洗劑	05	050101	修正為「外用藥水」	33卷18期
嗅鹽	05	050101	新增	33卷18期
醫療用微生物用營養物質	05	050101	修正為「微生物用營養物質」	33卷18期
醫用發酵乳劑	05	050101	修正為「醫藥用發酵乳劑」	33卷18期
醫療用杏仁乳劑	05	050101	修正為「醫藥用杏仁乳劑」	33卷18期
肥皂樟腦擦劑	05	050101	新增	33卷18期
擠奶用潤滑油	05	050101	新增	33卷18期
薄荷醇	05	050101	新增	33卷18期
醫用漱口水	05	050101	修正為「醫療用漱口水」	33卷18期
醫療用浴泥	05	050101	修正為「浴用泥」	33卷18期
芥末藥膏	05	050101	新增	33卷18期
醫藥用欖仁樹皮	05	050101	新增	33卷18期
醫療用油脂	05	050101	新增	33卷18期
神經強健劑	05	050101	修正為「神經鎮定劑」	33卷18期
醫用蛋白質	05	050101	修正為「醫藥用蛋白質」	33卷18期
醫療用氯化銨錠劑	05	050101	修正為「氯化銨錠劑」	33卷18期
醫療用乾燥劑	05	050101	新增	33卷18期
醫療用金雞那樹皮	05	050101	新增	33卷18期
類固醇藥膏	05	050101	修正為「類固醇」	33卷18期
棒狀硫黃（消毒劑）	05	050101	修正為「棒狀硫磺消毒劑」	33卷18期
硫化銨藥劑	05	050101	新增	33卷18期
治療曬傷軟膏	05	050101	修正為「曬傷藥膏」	33卷18期
醫療栓劑	05	050101	修正為「栓劑」	33卷18期
醫藥用曬傷劑	05	050101	修正為「醫藥用曬傷製劑」	33卷18期
牙齒生長促進劑	05	050101	修正為「牙齒生長促進製劑」	33卷18期
醫藥用茴香油	05	050101	修正為「醫藥用百里香酚」	33卷18期
醫療用碘酊	05	050101	修正為「碘酊」	33卷18期
醫療用溫泉水	05	050101	修正為「溫泉水」	33卷18期
醫藥用酸類	05	050101	新增	33卷18期
醫療用烏頭鹼	05	050101	修正為「烏頭鹼」	33卷18期
醫藥用乙醛	05	050101	新增	33卷18期
醫藥用醋酸鋁	05	050101	新增	33卷18期
抗尿酸劑	05	050101	修正為「抗尿酸製劑」	33卷18期
食慾抑制劑	05	050101	修正為「醫療用食慾抑制劑」	33卷18期
醫療用樹皮	05	050101	修正為「醫藥用樹皮」	33卷18期
醫藥用安古斯圖拉樹皮	05	050101	新增	33卷18期
藥浸棗	05	050101	新增	33卷18期
礦泉水浴用鹽	05	050101	新增	33卷18期
礦泉水鹽	05	050101	新增	33卷18期
醫藥用重碳酸鹽鹼	05	050101	修正為「醫藥用碳酸氫鈉」	33卷18期
醫療用油	05	050101	修正為「藥用油」	33卷18期
藥用根莖	05	050101	新增	33卷18期
人體用生物製劑	05	050101	修正為「醫療用生物製劑」	33卷18期
醫療用過氧化氫	05	050101	新增	33卷18期
醫藥用鉍製劑	05	050101	新增	33卷18期
糖尿病患者用之營養物	05	050101	移至「0503」，並修正為「糖尿病患用麵包」	33卷18期
醫藥用亞硝酸鉍	05	050101	新增	33卷18期
支氣管擴張劑	05	050101	修正為「支氣管擴張製劑」	33卷18期
醫藥用紅樹林皮	05	050101	新增	33卷18期
醫藥用氧化鎂	05	050101	新增	33卷18期
醫藥用蛇麻素	05	050101	新增	33卷18期
醫藥用麥芽	05	050101	新增	33卷18期
醫藥用醋酸鹽	05	050101	新增	33卷18期
醫藥用碘化鹼	05	050101	新增	33卷18期
食慾壓抑劑	05	050101	修正為「醫療用食慾壓抑劑」	33卷18期
腳用止汗劑	05	050101	修正為「足汗治療劑」	33卷18期
醫療用麥芽乳	05	050101	修正為「醫療用麥芽乳飲品」	33卷18期
醫療用冷敷貼布	05	050101	移至「0505」	33卷18期
化學藥物製劑	05	050101	新增	33卷18期
醫療用氨基酸	05	050101	新增	33卷18期
醫療及獸醫用細菌製劑	05	050101	新增	33卷18期
醫療及獸醫用微生物培養劑	05	050101	新增	33卷18期
醫療及獸醫用微生物製劑	05	050101	新增	33卷18期
人用及動物用微量元素製劑	05	050101	新增	33卷18期
腸內寄生蟲驅除劑	05	050101	新增	33卷18期
衛生用消毒劑	05	050101	新增	33卷18期
防蚊液	05	050101	新增	33卷18期
醫療用促進毛髮生長製劑	05	050101	新增	33卷18期
醫療用髮油	05	050101	新增	33卷18期
醫療用凡士林	05	050101	新增	33卷18期
洗眼劑	05	050101	新增	33卷18期
陰道洗淨劑	05	050101	新增	33卷18期
細菌毒藥	05	050101	新增	33卷18期
醫藥用乙醚	05	050101	新增	33卷18期
醫藥用亞麻仁	05	050101	新增	33卷18期
醫藥用碳	05	050101	新增	33卷18期
食療或醫藥用澱粉	05	050101	新增	33卷18期
醫療用佐藥	05	050101	新增	33卷18期
醫療用蛋白質製劑	05	050101	新增	33卷18期
醫藥用酒精	05	050101	新增	33卷18期
外科或整形外科用骨水泥	05	050101	新增	33卷18期
腐蝕劑	05	050101	新增	33卷18期
醫藥用腐蝕劑	05	050101	新增	33卷18期
醫藥用酯纖維素	05	050101	新增	33卷18期
醫藥用醚纖維素	05	050101	新增	33卷18期
醫藥用酒石英	05	050101	新增	33卷18期
醫療用麻醉葯品	05	050101	新增	33卷18期
箭毒	05	050101	新增	33卷18期
醫藥用魚粉	05	050101	新增	33卷18期
醫藥用硫磺花	05	050101	新增	33卷18期
醫療用龍腦香膏	05	050101	新增	33卷18期
外科植入活組織	05	050101	新增	33卷18期
麥角症藥劑	05	050101	新增	33卷18期
醫藥用薄荷	05	050101	新增	33卷18期
醫療用營養添加劑	05	050101	新增	33卷18期
芥末膏藥用紙	05	050101	新增	33卷18期
醫療用王漿	05	050101	新增	33卷18期
醫藥用煎藥	05	050101	新增	33卷18期
醫藥用化學製劑	05	050101	新增	33卷18期
醫藥用薄荷	05	050101	新增	33卷18期
醫療用愛爾蘭苔	05	050101	新增	33卷18期
萬能藥	05	050101	新增	33卷18期
醫藥用蛇麻子精	05	050101	新增	33卷18期
醫藥用胃液素	05	050101	新增	33卷18期
退燒藥	05	050101	新增	33卷18期
醫藥用香蜂草液	05	050101	新增	33卷18期
醫療用菝契	05	050101	新增	33卷18期
醫療用衛生製劑	05	050101	新增	33卷18期
殺疥蟲劑	05	050101	新增	33卷18期
醫藥用鄰甲氧基酚	05	050101	新增	33卷18期
人體用藥品	05	050101	新增備註：「人體用藥品」小類組所有商品需檢索351907「藥物零售」小類組所有服務	33卷18期
臨床試驗用之製劑	05	050102	刪除	33卷18期
臨床試驗用製劑	05	050102	新增	33卷18期
醫療用或獸醫用的化學試藥	05	050102	修正為「醫療或獸醫用化學試藥」	33卷18期
無菌試劑（醫療用）	05	050102	修正為「醫療用無菌試劑」	33卷18期
醫療用診斷劑	05	050102	修正為「醫療用診斷製劑」	33卷18期
糖尿病患用麵包	05	0503	新增	33卷18期
礦物質食物補充品	05	0503	新增	33卷18期
植物纖維減肥粉	05	0503	新增	33卷18期
含維他命及礦物質營養補充品	05	0503	新增	33卷18期
營養補充品	05	0503	新增	33卷18期
食療或醫藥用澱粉	05	0503	新增	33卷18期
醫療用蛋白質食品	05	0503	新增	33卷18期
醫療用減肥飲品	05	0503	新增	33卷18期
醫療用減肥食品	05	0503	新增	33卷18期
醫療用減肥補助食品	05	0503	新增	33卷18期
醫療用減肥食品製劑	05	0503	新增	33卷18期
醫療用減肥茶	05	0503	新增	33卷18期
醫療用營養食品	05	0503	新增	33卷18期
雞精	05	0503	新增	33卷18期
鱉精	05	0503	新增	33卷18期
蛤士蟆精	05	0503	新增	33卷18期
鰻魚精	05	0503	新增	33卷18期
素雞精	05	0503	新增	33卷18期
魚翅精	05	0503	新增	33卷18期
營養補充品	05	0503	原備註一刪除。原備註二修正：「蛋白質營養補充品」、「高蛋白質粉」、「蛋白質粉」、「含蛋白質之營養粉」、「含蛋白質之營養添加劑」商品需檢索290103「奶粉、奶油」小類組中之「奶粉」、「乳粉」、「牛奶粉」、「羊奶粉」、「羊乳粉」商品	33卷18期
蛋白質乳劑	05	050301	新增	33卷18期
黑穗病治療用化學劑	05	050401	修正為「黑穗病治療用化學製劑」	33卷18期
殺藻劑	05	050401	修正為「除藻劑」	33卷18期
牛蠅驅除用油	05	050401	刪除	33卷18期
幼蟲驅除劑	05	050401	修正為「幼蟲滅除製劑」	33卷18期
抗隱花植物劑	05	050401	修正為「抗隱花植物製劑」	33卷18期
治療葡萄樹病用的製劑	05	050401	修正為「治療葡萄樹病用化學藥品」	33卷18期
害蟲驅除劑	05	050401	修正為「害蟲消滅製劑」	33卷18期
蛞蝓驅除劑	05	050401	修正為「蛞蝓消滅製劑」	33卷18期
處理葡萄蚜蟲化學製劑	05	050401	新增	33卷18期
農業用藥劑	05	050401	新增	33卷18期
乾腐病殺菌劑	05	050401	新增	33卷18期
殺真菌劑	05	050401	新增	33卷18期
驅蠕蟲藥	05	050401	新增	33卷18期
驅蟲劑	05	050401	新增	33卷18期
蚊香	05	050402	新增	33卷18期
電蚊香片	05	050402	新增	33卷18期
電蚊香片用液	05	050402	新增	33卷18期
電蚊香液	05	050402	新增	33卷18期
衛生用消毒劑	05	050402	新增	33卷18期
防蚊液	05	050402	新增	33卷18期
驅蟲劑	05	050402	新增	33卷18期
環境衛生用藥劑	05	050402	新增	33卷18期
殺蟲劑	05	050402	新增	33卷18期
除霉化學製劑	05	050402	新增	33卷18期
驅蟲用西洋杉	05	050402	新增	33卷18期
廁所消毒劑	05	050402	新增	33卷18期
殺蒼蠅製劑	05	050402	新增	33卷18期
防蛀蟲製劑	05	050402	新增	33卷18期
除蟲菊粉	05	050402	新增	33卷18期
驅蟲線香	05	050402	新增	33卷18期
環境衛生用藥劑	05	050402	新增備註二：「蚊香」、「電蚊香片」、「電蚊香片用液」、「電蚊香液」商品需檢索0901「誘殺昆蟲電力裝置」組群中之「電蚊香器」商品	33卷18期
敷藥用材料	05	0505	新增	33卷18期
外科用繃帶	05	0505	新增	33卷18期
衛生繃帶	05	0505	新增	33卷18期
醫療用繃帶	05	0505	新增	33卷18期
包紮繃帶	05	0505	新增	33卷18期
外科用紗布	05	0505	新增	33卷18期
浸有藥水的紗布	05	0505	新增	33卷18期
包紮用紗布	05	0505	新增	33卷18期
親水性藥用紗布	05	0505	新增	33卷18期
敷傷用海綿	05	0505	新增	33卷18期
醫療用棉	05	0505	新增	33卷18期
醫療用填棉	05	0505	新增	33卷18期
外科肩胛包紮用繃帶	05	0505	新增	33卷18期
拇趾外翻用襯墊	05	0505	新增	33卷18期
醫療用貼布	05	0505	新增	33卷18期
醫療用膠布	05	0505	新增	33卷18期
膠布	05	0505	新增	33卷18期
醫療用冷敷貼布	05	0505	新增	33卷18期
醫療用眼罩	05	0505	新增	33卷18期
哺乳用護墊	05	0505	移至「0518」	33卷18期
吸乳墊	05	0505	移至「0518」	33卷18期
衛生止血棉塞	05	0506	刪除	33卷18期
月經用止血棉	05	0506	修正為「生理期用棉塞」	33卷18期
月經用墊	05	0506	修正為「生理期用墊」	33卷18期
生理用巾	05	0506	刪除	33卷18期
生理用襯墊	05	0506	刪除	33卷18期
寵物用衛生棉	05	0506	新增	33卷18期
填牙材料	05	0507	新增	33卷18期
假牙用瓷料	05	0507	新增	33卷18期
牙科用金汞合金	05	0507	新增	33卷18期
牙科用的印模用蠟	05	0507	修正為「牙科齒模用蠟」	33卷18期
假牙用接合劑	05	0507	修正為「假牙黏合劑」	33卷18期
牙科用接合劑	05	0507	新增	33卷18期
補牙用貴金屬合金	05	0507	修正為「牙科用貴金屬合金」	33卷18期
牙科用膠泥	05	0507	新增	33卷18期
隱形眼鏡用清潔液保存液	05	0508	修正為「隱形眼鏡清潔液、隱形眼鏡保存液」	33卷18期
隱形眼鏡用洗淨劑	05	0508	修正為「隱形眼鏡清潔製劑」	33卷18期
蚊香、電蚊香片、捕蟲紙、盒、捕鼠紙、黏鼠板	05	0510	修正為「捕蟲紙、捕蟲盒、捕鼠紙、黏鼠板」	33卷18期
防蟲紙	05	0510	修正為「防蛀蟲紙」	33卷18期
蚊香	05	0510	移至「050402」	33卷18期
電蚊香片	05	0510	移至「050402」	33卷18期
電蚊香片（液）	05	0510	移至「050402」，並修正為「電蚊香片用液」	33卷18期
捕蟲盒	05	0510	新增	33卷18期
捕蟲紙、捕蟲盒、捕鼠紙、黏鼠板	05	0510	原備註二刪除。原備註一修正：「捕蟲紙、捕蟲盒、捕鼠紙、黏鼠板」組群所有商品需檢索050402「環境衛生用藥劑」小類組所有商品	33卷18期
抗寄生蟲製劑包括犬心蟲藥片	05	0511	修正為「抗寄生蟲製劑」	33卷18期
狗用洗淨藥劑	05	0511	修正為「狗用洗淨藥水」	33卷18期
狗用藥水	05	0511	修正為「狗外用藥水」	33卷18期
家畜用洗淨藥劑	05	0511	修正為「家畜用洗淨藥水」	33卷18期
動物洗淨劑	05	0511	新增	33卷18期
動物用接合劑	05	0511	修正為「動物蹄用骨水泥」	33卷18期
醫用飼料添加劑	05	0511	修正為「醫療用飼料添加劑」	33卷18期
獸醫用化學製劑	05	0511	新增	33卷18期
醫療或獸醫用化學試藥	05	0511	新增	33卷18期
獸醫用外用藥水	05	0511	新增	33卷18期
獸醫用生物學製劑	05	0511	修正為「獸醫用生物製劑」	33卷18期
獸醫科用油脂	05	0511	修正為「獸醫用油脂」	33卷18期
獸醫科用藥劑	05	0511	修正為「獸醫用藥」	33卷18期
獸醫科用酵素	05	0511	修正為「獸醫用酵素」	33卷18期
化學藥物製劑	05	0511	新增	33卷18期
醫療及獸醫用細菌製劑	05	0511	新增	33卷18期
醫療及獸醫用微生物培養劑	05	0511	新增	33卷18期
醫療及獸醫用微生物製劑	05	0511	新增	33卷18期
人用及動物用微量元素製劑	05	0511	新增	33卷18期
腸內寄生蟲驅除劑	05	0511	新增	33卷18期
衛生用消毒劑	05	0511	新增	33卷18期
殺蟲劑	05	0511	新增	33卷18期
殺蜱蟲劑	05	0511	新增	33卷18期
獸醫用酵素製劑	05	0511	新增	33卷18期
動物用營養補充品	05	0511	新增	33卷18期
動物用藥品、動物用含藥性洗滌劑	05	0511	新增備註：「醫療用飼料添加劑」、「動物用營養補充品」商品需檢索3105「飼料」組群中之「非醫用飼料添加物」、「非醫用飼料添加劑」、「動物用酵母」、「動物食用蛋白質」商品	33卷18期
嬰兒食品（餅乾除外）	05	0512	修正為「嬰兒食品」	33卷18期
嬰兒食品	05	0512	新增	33卷18期
嬰兒食品	05	0512	新增備註：三、「嬰兒食品」商品需檢索290101「獸乳、調味乳、乳酸菌飲料」小類組、290103「奶粉、奶油」小類組所有商品及301202「麥片、麵粉、穀製粉、綜合穀物纖維粉」小類組中之「麥粉」、「米仔麩」、「米麥粉」商品	33卷18期
可攜式內附用品醫藥箱	05	0513	新增	33卷18期
內附用品急救箱	05	0513	新增	33卷18期
空氣淨化製劑，非個人用除臭劑、芳香劑	05	0514	修正為「空氣淨化製劑、非個人用除臭劑、非個人用芳香劑」	33卷18期
非個人用芳香劑	05	0514	新增	33卷18期
醫用手鐲，醫用指環	05	0515	修正為「醫療用手鐲、醫療用指環」	33卷18期
醫用手鐲	05	0515	修正為「醫療用手鐲」	33卷18期
醫用指環	05	0515	修正為「醫療用指環」	33卷18期
治療風濕用環	05	0515	修正為「抗風濕用手環」	33卷18期
抗風濕用指環	05	0515	新增	33卷18期
失禁用尿布	05	0516	修正備註：「失禁用尿布」組群所有商品需檢索1010「醫療用補助品（此標題涵義廣泛，不可列為商品名稱）」組群中之「失禁用墊」、「看護墊」商品及1606「嬰兒紙尿褲、紙尿片」組群所有商品	33卷18期
生理期用褲	05	0517	新增組群	33卷18期
生理期用褲	05	0517	新增	33卷18期
生理褲	05	0517	新增	33卷18期
生理期用褲	05	0517	新增備註：「生理期用褲」組群所有商品需檢索250101「內衣、睡衣、汗衫、泳裝、襯衫」小類組中之「內褲」商品	33卷18期
胸部護理墊	05	0518	新增組群	33卷18期
胸部護理墊	05	0518	新增	33卷18期
哺乳用護墊	05	0518	新增	33卷18期
吸乳墊	05	0518	新增	33卷18期
止汗劑	05	050101	修正為「止汗藥劑」	33卷11期
人體用藥品、醫療檢驗用製劑	05	0501	註釋修正如下：1.本組群係指治療、矯正人類疾病為目的並經衛生署核准之藥品。2.以中藥材、藥草提煉製成之提供特殊營養素，或具特定保健功效之商品，則屬營養補充品，非為藥品，申請時應註明為「營養補充品」歸屬0503組群。3.「藥用酒」係指經衛生署核准之乙類成藥。	33卷24期
膽汁排泄葯	05	050101	修正為「膽汁排泄藥」	33卷24期
婦女陰道灌洗葯劑	05	050101	修正為「婦女陰道灌洗藥劑」	33卷24期
止痙攣病	05	050101	修正為「止痙攣藥」	33卷24期
蛋白質乳劑	05	0503	新增	33卷24期
營養補充品	05	0503	修正備註一、「營養補充品」組群所有商品需檢索300502「蜜」小類組中之「蜂王漿」、「蜂王乳」、「蜂王精」、「蜂膠片」、「蜂膠」、「蜜蜂膠」、「蜜梨漿」、「食用花粉」商品	33卷24期
營養補充品	05	0503	修正備註二、「蛋白質營養補充品」、「高蛋白質粉」、「蛋白質粉」、「含蛋白質之營養粉」、「含蛋白質之營養添加劑」、「蛋白質乳劑」商品需檢索290103「奶粉、奶油」小類組中之「奶粉」、「乳粉」、「牛奶粉」、「羊奶粉」、「羊乳粉」商品	33卷24期
蛋白質乳劑	05	050301	刪除，移至「0503」	33卷24期
農業用藥劑	05	050401	修正備註：「農業用藥劑」小類組所有商品需檢索0102「農業用化學品（殺菌劑及除草劑及殺蟲劑及寄生生物驅除劑除外）、植物生長調節劑」組群所有商品	33卷24期
哺乳用護墊	05	0505	刪除，移至「0518」	33卷24期
吸乳墊	05	0505	刪除，移至「0518」	33卷24期
話筒芳香劑（片）	05	0514	修正為「話筒芳香劑」	33卷24期
哺乳用護墊	05	0518	新增	33卷24期
吸乳墊	05	0518	新增	33卷24期
空氣淨化製劑、非個人用除臭劑、非個人用芳香劑	05	0514	備註修正：備註：「由竹醋液製成之非人體用除臭劑」商品需檢索010101「工業用化學品、科學用化學品」小類組中之「竹酢液（原料）」、「竹醋液（原料）」、「木酢液（原料）」商品及030104「人體用清潔劑」小類組中之「含竹醋液之香皂」、「含竹醋液之泡澡用沐浴劑」商品	33卷21期
人體用藥品、臨床試驗用製劑	05	0501	標題修正為「人體用藥品、醫療檢驗用製劑」	33卷20期
臨床用脂質注射液	05	050101	修正為「醫療用脂質注射液」	33卷20期
臨床試驗用之製劑	05	050102	刪除	33卷20期
臨床試驗用之製劑	05	050102	刪除	33卷20期
臨床試驗用製劑	05	050102	標題修正為「醫療檢驗用製劑」	33卷20期
臨床試驗用製劑	05	050102	修正為「醫療檢驗用製劑」	33卷20期
臨床試驗用製藥	05	050102	刪除	33卷20期
臨床試驗用藥劑	05	050102	修正為「醫療檢驗用藥劑」	33卷20期
梅精	05	0503	新增	33卷20期
環境衛生用藥劑	05	050402	修正備註：「蚊香」、「電蚊香片」、「電蚊香片用液」、「電蚊香液」商品需檢索0901組群中之「電蚊香器」商品及2111組群中之「蚊香器」商品	33卷20期
捕蟲紙、捕蟲盒、捕鼠紙、黏鼠板	05	0510	修正備註：0510組群所有商品需檢索050402小類組所有商品及2111組群所有商品	33卷20期
由竹醋液製成之非人體用除臭劑	05	0514	新增	32卷15期
空氣淨化製劑，非個人用除臭劑、芳香劑	05	0514	新增備註：「由竹醋液製成之非人體用除臭劑」商品需檢索010101「工業用化學品、科學用化學品」小類組中之「竹酢液（原料）」、「竹醋液（原料）」、「木酢液（原料）」商品及030104「人體用清潔劑」小類組中之「含竹醋液之香皂及泡澡用沐浴劑」商品	32卷15期
金屬太陽能屋頂板材	06	0602	新增	42卷01期
金屬製裝甲門	06	0602	新增	42卷01期
金屬製浴缸扶手	06	060302	新增	42卷01期
配管用金屬壁鉤	06	060303	刪除	42卷01期
管夾	06	060303	刪除	42卷01期
纜繩用或管用金屬夾	06	060303	刪除	42卷01期
纜繩用金屬夾	06	060303	新增	42卷01期
管用金屬夾	06	060303	新增	42卷01期
金屬製預鑄房屋	06	0602	新增	41卷13期
旋轉柵門	06	0602	刪除	41卷13期
金屬製旋轉柵門	06	0602	新增	41卷13期
金屬製屋頂排水溝	06	0602	新增	41卷13期
金屬製道路排水溝	06	0602	新增	41卷13期
金屬製家畜棚屋	06	0602	新增	41卷13期
金屬製豬圈	06	0602	新增	41卷13期
非電氣式門鈴	06	060302	刪除	41卷13期
非電氣式金屬門鈴	06	060302	新增	41卷13期
瓶用金屬製螺旋蓋	06	0621	新增	41卷13期
金屬貨櫃	06	0621	新增	41卷13期
裝甲鋼板	06	0601	新增	41卷01期
